id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,group_popularity,city,state,notes
CUURA101SAD,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Durables in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1967-01-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:36-06,1,1,New York,NY,
CUURA101SAE,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Education and Communication in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1997-12-01,2021-11-01,Monthly,M,Index Dec 1997=100,Index Dec 1997=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:36-06,1,1,New York,NY,
CUURA101SAEC,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Education and Communication Commodities in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",2009-12-01,2021-11-01,Monthly,M,Index Dec 2009=100,Index Dec 2009=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:36-06,1,1,New York,NY,
CUURA101SAES,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Education and Communication Services in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",2009-12-01,2021-11-01,Monthly,M,Index Dec 2009=100,Index Dec 2009=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:36-06,1,1,New York,NY,
CUURA101SAF,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Food and Beverages in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1976-01-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:36-06,2,2,New York,NY,
CUURA101SAF1,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Food in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1914-12-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:39:25-06,2,2,New York,NY,
CUURA101SAF11,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Food at Home in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1953-01-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:39:33-06,1,1,New York,NY,
CUURA101SAF116,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Alcoholic Beverages in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1976-01-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:35-06,1,1,New York,NY,
CUURA101SAG,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Other Goods and Services in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1976-01-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:35-06,1,1,New York,NY,
CUURA101SAGC,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Other Goods in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",2009-12-01,2021-11-01,Monthly,M,Index Dec 2009=100,Index Dec 2009=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:35-06,1,1,New York,NY,
CUURA101SAGS,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Other Personal Services in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",2009-12-01,2021-11-01,Monthly,M,Index Dec 2009=100,Index Dec 2009=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:35-06,1,1,New York,NY,
CUURA101SAH,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Housing in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1976-01-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:39:24-06,8,8,New York,NY,
CUURA101SAH1,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Shelter in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1952-12-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:35-06,1,1,New York,NY,
CUURA101SAH2,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Fuels and Utilities in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1952-12-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:35-06,1,1,New York,NY,
CUURA101SAH21,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Household Energy in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1976-01-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:35-06,1,1,New York,NY,
CUURA101SAH3,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Household Furnishings and Operations in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1976-01-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:35-06,1,1,New York,NY,
CUURA101SAH31,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Household Furnishings and Supplies in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",2009-12-01,2021-11-01,Monthly,M,Index Dec 2009=100,Index Dec 2009=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:34-06,1,1,New York,NY,
CUURA101SAM,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Medical Care in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1947-01-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:34-06,1,1,New York,NY,
CUURA101SAN,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Nondurables in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1967-01-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:34-06,1,1,New York,NY,
CUURA101SANL1,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Nondurables Less Food in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1967-01-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:34-06,1,1,New York,NY,
CUURA101SANL11,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Nondurables Less Food and Beverages in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1976-01-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:34-06,1,1,New York,NY,
CUURA101SAR,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Recreation in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1997-12-01,2021-11-01,Monthly,M,Index Dec 1997=100,Index Dec 1997=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:34-06,1,1,New York,NY,
CUURA101SAS,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Services in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1967-01-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:34-06,1,1,New York,NY,
CUURA101SASL2RS,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Services Less Rent of Shelter in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1982-12-01,2021-11-01,Monthly,M,Index Dec 1982=100,Index Dec 1982=100,Not Seasonally Adjusted,NSA,2021-12-10 07:39:27-06,2,2,New York,NY,
CUURA101SASL5,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Services Less Medical Care Services in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1967-01-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:33-06,1,1,New York,NY,
CUURA101SAT,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Transportation in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1947-01-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:33-06,1,1,New York,NY,
CUURA101SAT1,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Private Transportation in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1947-01-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:33-06,1,1,New York,NY,
CUURA101SATCLTB,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Transportation Commodities Less Motor Fuel in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",2009-12-01,2021-11-01,Monthly,M,Index Dec 2009=100,Index Dec 2009=100,Not Seasonally Adjusted,NSA,2021-12-10 07:39:26-06,1,1,New York,NY,
CUURA101SEFV,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Food Away from Home in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1952-12-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:39:29-06,2,2,New York,NY,
CUURA101SEHA,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Rent of Primary Residence in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1914-12-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:39:12-06,23,26,New York,NY,
CUURA101SEHC,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Owners' Equivalent Rent of Residences in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1982-12-01,2021-11-01,Monthly,M,Index Dec 1982=100,Index Dec 1982=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:33-06,1,1,New York,NY,
CUURA101SEHC01,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Owners' Equivalent Rent of Primary Residence in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1982-12-01,2021-11-01,Monthly,M,Index Dec 1982=100,Index Dec 1982=100,Not Seasonally Adjusted,NSA,2021-12-10 07:39:29-06,5,5,New York,NY,
CUURA101SEHF,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Energy Services in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1935-03-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:33-06,1,1,New York,NY,
CUURA101SEHF01,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Electricity in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1971-05-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:39:26-06,2,2,New York,NY,
CUURA101SEHF02,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Utility (Piped) Gas Service in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1971-05-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:39:26-06,1,1,New York,NY,
CUURA101SETB,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Motor Fuel in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1977-12-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:33-06,1,1,New York,NY,
CUURA101SETB01,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Gasoline (All Types) in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1977-12-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:39:33-06,1,1,New York,NY,
CUURA101SS47014,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Gasoline, Unleaded Regular in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1976-01-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:33-06,1,1,New York,NY,
CUURA101SS47015,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Gasoline, Unleaded Midgrade in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1993-12-01,2021-11-01,Monthly,M,Index Dec 1993=100,Index Dec 1993=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:33-06,1,1,New York,NY,
CUURA101SS47016,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Gasoline, Unleaded Premium in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1981-08-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:32-06,1,1,New York,NY,
ENUC310830010,2021-12-30,2021-12-30,"Total Quarterly Wages in Los Angeles-Long Beach-Anaheim, CA (MSA)",2013-01-01,2021-04-01,Quarterly,Q,Dollars,$,Not Seasonally Adjusted,NSA,2021-12-01 11:07:02-06,3,3,Los Angeles,CA,"Total wages are the wages paid by Unemployment Insurance covered employers during the calendar quarter, regardless of when the services were performed. Included in wages are pay for vacation and other paid leave, bonuses, stock options, tips, the cash val"
ENUC310830010SA,2021-12-30,2021-12-30,"Total Quarterly Wages in Los Angeles-Long Beach-Anaheim, CA (MSA)",2013-01-01,2021-04-01,Quarterly,Q,Dollars,$,Seasonally Adjusted,SA,2021-12-01 11:13:34-06,2,3,Los Angeles,CA,"Total wages are the wages paid by Unemployment Insurance covered employers during the calendar quarter, regardless of when the services were performed.

The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'x12' package from R with default parameter settings. The package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal Adjustment Program. More information on the 'x12' package can be found at http://cran.r-project.org/web/packages/x12/x12.pdf. More information on X-12-ARIMA can be found at http://www.census.gov/srd/www/x12a/."
ENUC310840010,2021-12-30,2021-12-30,"Average Weekly Wages for Employees in Total Covered Establishments in Los Angeles-Long Beach-Anaheim, CA (MSA)",2013-01-01,2021-04-01,Quarterly,Q,Dollars per Week,$ per Week,Not Seasonally Adjusted,NSA,2021-12-01 11:09:23-06,1,1,Los Angeles,CA,"Average weekly wages are the wages paid by unemployment insurance covered employers during the calendar quarter, regardless of when the services were performed. Included in wages are pay for vacation and other paid leave, bonuses, stock options, tips, the cash value of meals and lodging, and in some States, contributions to deferred compensation plans (such as 401(k) plans)."
ENUC310840010SA,2021-12-30,2021-12-30,"Average Weekly Wages for Employees in Total Covered Establishments in Los Angeles-Long Beach-Santa Ana, CA (MSA)",2013-01-01,2021-04-01,Quarterly,Q,Dollars per Week,$ per Week,Seasonally Adjusted,SA,2021-12-01 11:13:34-06,1,1,Los Angeles,CA,"Average weekly wages are the wages paid by unemployment insurance covered employers during the calendar quarter, regardless of when the services were performed. Included in wages are pay for vacation and other paid leave, bonuses, stock options, tips, the cash value of meals and lodging, and in some States, contributions to deferred compensation plans (such as 401(k) plans). 

The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'x12' package from R with default parameter settings. The package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal Adjustment Program. More information on the 'x12' package can be found at http://cran.r-project.org/web/packages/x12/x12.pdf. More information on X-12-ARIMA can be found at http://www.census.gov/srd/www/x12a/."
ENUC310840110,2021-12-30,2021-12-30,"Average Weekly Wages for Employees in Federal Government Establishments in Los Angeles-Long Beach-Anaheim, CA (MSA)",2013-01-01,2021-04-01,Quarterly,Q,Dollars per Week,$ per Week,Not Seasonally Adjusted,NSA,2021-12-01 11:09:23-06,1,1,Los Angeles,CA,"Average weekly wages are the wages paid by unemployment insurance covered employers during the calendar quarter, regardless of when the services were performed. Included in wages are pay for vacation and other paid leave, bonuses, stock options, tips, the cash value of meals and lodging, and in some States, contributions to deferred compensation plans (such as 401(k) plans)."
ENUC310840110SA,2021-12-30,2021-12-30,"Average Weekly Wages for Employees in Federal Government Establishments in Los Angeles-Long Beach-Santa Ana, CA (MSA)",2013-01-01,2021-04-01,Quarterly,Q,Dollars per Week,$ per Week,Seasonally Adjusted,SA,2021-12-01 11:21:13-06,0,1,Los Angeles,CA,"Average weekly wages are the wages paid by unemployment insurance covered employers during the calendar quarter, regardless of when the services were performed. Included in wages are pay for vacation and other paid leave, bonuses, stock options, tips, the cash value of meals and lodging, and in some States, contributions to deferred compensation plans (such as 401(k) plans). 

The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'x12' package from R with default parameter settings. The package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal Adjustment Program. More information on the 'x12' package can be found at http://cran.r-project.org/web/packages/x12/x12.pdf. More information on X-12-ARIMA can be found at http://www.census.gov/srd/www/x12a/."
ENUC310840210,2021-12-30,2021-12-30,"Average Weekly Wages for Employees in State Government Establishments in Los Angeles-Long Beach-Anaheim, CA (MSA)",2013-01-01,2021-04-01,Quarterly,Q,Dollars per Week,$ per Week,Not Seasonally Adjusted,NSA,2021-12-01 11:09:23-06,1,1,Los Angeles,CA,"Average weekly wages are the wages paid by unemployment insurance covered employers during the calendar quarter, regardless of when the services were performed. Included in wages are pay for vacation and other paid leave, bonuses, stock options, tips, the cash value of meals and lodging, and in some States, contributions to deferred compensation plans (such as 401(k) plans)."
ENUC310840210SA,2021-12-30,2021-12-30,"Average Weekly Wages for Employees in State Government Establishments in Los Angeles-Long Beach-Santa Ana, CA (MSA)",2013-01-01,2021-04-01,Quarterly,Q,Dollars per Week,$ per Week,Seasonally Adjusted,SA,2021-12-01 11:13:34-06,1,1,Los Angeles,CA,"Average weekly wages are the wages paid by unemployment insurance covered employers during the calendar quarter, regardless of when the services were performed. Included in wages are pay for vacation and other paid leave, bonuses, stock options, tips, the cash value of meals and lodging, and in some States, contributions to deferred compensation plans (such as 401(k) plans). 

The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'x12' package from R with default parameter settings. The package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal Adjustment Program. More information on the 'x12' package can be found at http://cran.r-project.org/web/packages/x12/x12.pdf. More information on X-12-ARIMA can be found at http://www.census.gov/srd/www/x12a/."
ENUC310840310,2021-12-30,2021-12-30,"Average Weekly Wages for Employees in Local Government Establishments in Los Angeles-Long Beach-Anaheim, CA (MSA)",2013-01-01,2021-04-01,Quarterly,Q,Dollars per Week,$ per Week,Not Seasonally Adjusted,NSA,2021-12-01 11:09:23-06,1,1,Los Angeles,CA,"Average weekly wages are the wages paid by unemployment insurance covered employers during the calendar quarter, regardless of when the services were performed. Included in wages are pay for vacation and other paid leave, bonuses, stock options, tips, the cash value of meals and lodging, and in some States, contributions to deferred compensation plans (such as 401(k) plans)."
ENUC310840310SA,2021-12-30,2021-12-30,"Average Weekly Wages for Employees in Local Government Establishments in Los Angeles-Long Beach-Santa Ana, CA (MSA)",2013-01-01,2021-04-01,Quarterly,Q,Dollars per Week,$ per Week,Seasonally Adjusted,SA,2021-12-01 11:21:13-06,0,1,Los Angeles,CA,"Average weekly wages are the wages paid by unemployment insurance covered employers during the calendar quarter, regardless of when the services were performed. Included in wages are pay for vacation and other paid leave, bonuses, stock options, tips, the cash value of meals and lodging, and in some States, contributions to deferred compensation plans (such as 401(k) plans). 

The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'x12' package from R with default parameter settings. The package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal Adjustment Program. More information on the 'x12' package can be found at http://cran.r-project.org/web/packages/x12/x12.pdf. More information on X-12-ARIMA can be found at http://www.census.gov/srd/www/x12a/."
ENUC310840510,2021-12-30,2021-12-30,"Average Weekly Wages for Employees in Private Establishments in Los Angeles-Long Beach-Anaheim, CA (MSA)",2013-01-01,2021-04-01,Quarterly,Q,Dollars per Week,$ per Week,Not Seasonally Adjusted,NSA,2021-12-01 11:09:23-06,1,1,Los Angeles,CA,"Average weekly wages are the wages paid by unemployment insurance covered employers during the calendar quarter, regardless of when the services were performed. Included in wages are pay for vacation and other paid leave, bonuses, stock options, tips, the cash value of meals and lodging, and in some States, contributions to deferred compensation plans (such as 401(k) plans)."
ENUC310840510SA,2021-12-30,2021-12-30,"Average Weekly Wages for Employees in Private Establishments in Los Angeles-Long Beach-Santa Ana, CA (MSA)",2013-01-01,2021-04-01,Quarterly,Q,Dollars per Week,$ per Week,Seasonally Adjusted,SA,2021-12-01 11:13:34-06,1,1,Los Angeles,CA,"Average weekly wages are the wages paid by unemployment insurance covered employers during the calendar quarter, regardless of when the services were performed. Included in wages are pay for vacation and other paid leave, bonuses, stock options, tips, the cash value of meals and lodging, and in some States, contributions to deferred compensation plans (such as 401(k) plans). 

The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'x12' package from R with default parameter settings. The package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal Adjustment Program. More information on the 'x12' package can be found at http://cran.r-project.org/web/packages/x12/x12.pdf. More information on X-12-ARIMA can be found at http://www.census.gov/srd/www/x12a/."
ENUC311030010,2021-12-30,2021-12-30,"Total Quarterly Wages in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",1990-01-01,2012-10-01,Quarterly,Q,Dollars,Thous. of $,Not Seasonally Adjusted,NSA,2015-09-04 06:26:51-05,1,1,Los Angeles,CA,"Total wages are the wages paid by Unemployment Insurance covered employers during the calendar quarter, regardless of when the services were performed."
ENUC311030010SA,2021-12-30,2021-12-30,"Total Quarterly Wages in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",1990-01-01,2012-10-01,Quarterly,Q,Dollars,$,Seasonally Adjusted,SA,2015-09-15 14:01:32-05,1,1,Los Angeles,CA,"Total wages are the wages paid by Unemployment Insurance covered employers during the calendar quarter, regardless of when the services were performed.

The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'x12' package from R with default parameter settings. The package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal Adjustment Program. More information on the 'x12' package can be found at http://cran.r-project.org/web/packages/x12/x12.pdf. More information on X-12-ARIMA can be found at https://www.census.gov/srd/www/x13as/."
INTINCOMELAS,2021-12-30,2021-12-30,"Net Interest Income for Commercial Banks with Assets under $5B in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",1989-01-01,2020-07-01,Quarterly,Q,Thousands of Dollars,Thous. of $,Not Seasonally Adjusted,NSA,2020-12-10 14:50:24-06,1,1,Los Angeles,CA,"This series is discontinued and will no longer be updated. Additional consolidated data is available on the FDIC's Bank Data and Statistics (https://www.fdic.gov/bank/statistical/).

This series represents Net Interest Income call item RIAD4074.

The asset class is determined by using Total Assets call item RCFD2170 less than or equal to $5B. Geographic location is determined by Abbreviated State Name call item RSSD9200 and County Code call item RSSD9150, which is mapped to the proper Core Based Statistical Area (CBSA) defined by the Office of Management and Budget (OMB).

Users are advised to use the Federal Reserve Board of Governors' data dictionary (https://www.federalreserve.gov/apps/mdrm/data-dictionary) to retrieve detailed information for specific call items.

This series is calculated by the Federal Reserve Bank of St. Louis using raw data that are collected by the FFIEC. Raw data can be found at https://cdr.ffiec.gov/public/."
IRPD31080,2021-12-30,2021-12-30,"Implicit Regional Price Deflator for Los Angeles-Long Beach-Anaheim, CA (MSA)",2008-01-01,2020-01-01,Annual,A,US PCE Index 2012=100,US PCE Index 2012=100,Not Seasonally Adjusted,NSA,2021-12-14 11:01:41-06,1,1,Los Angeles,CA,"The Implicit Regional Price Deflator (IRPD) is the ratio of the current-dollar value of a series, such as regional personal income, to its corresponding chained-dollar value, multiplied by 100.

For more information about this release go to http://www.bea.gov/newsreleases/regional/rpp/rpp_newsrelease.htm or http://www.bea.gov/regional/methods.cfm."
