code,county,MSA Code,msa,MSA Type,CSA Code,CSA Title
53011,"Clark County, Washington",C3890,"Portland-Vancouver-Hillsboro, OR-WA",Metro,CS440,"Portland-Vancouver-Salem, OR-WA"
53013,"Columbia County, Washington",C4746,"Walla Walla, WA",Metro,,
53015,"Cowlitz County, Washington",C3102,"Longview, WA",Metro,CS440,"Portland-Vancouver-Salem, OR-WA"
53017,"Douglas County, Washington",C4830,"Wenatchee, WA",Metro,,
53019,"Ferry County, Washington",,,,,
53021,"Franklin County, Washington",C2842,"Kennewick-Richland, WA",Metro,,
53023,"Garfield County, Washington",,,,,
53025,"Grant County, Washington",C3418,"Moses Lake, WA",Micro,CS393,"Moses Lake-Othello, WA"
53027,"Grays Harbor County, Washington",C1014,"Aberdeen, WA",Micro,,
53029,"Island County, Washington",C3602,"Oak Harbor, WA",Micro,CS500,"Seattle-Tacoma, WA"
53031,"Jefferson County, Washington",,,,,
53033,"King County, Washington",C4266,"Seattle-Tacoma-Bellevue, WA",Metro,CS500,"Seattle-Tacoma, WA"
53035,"Kitsap County, Washington",C1474,"Bremerton-Silverdale, WA",Metro,CS500,"Seattle-Tacoma, WA"
53037,"Kittitas County, Washington",C2126,"Ellensburg, WA",Micro,,
53039,"Klickitat County, Washington",,,,,
53041,"Lewis County, Washington",C1650,"Centralia, WA",Micro,CS500,"Seattle-Tacoma, WA"
53043,"Lincoln County, Washington",,,,,
53045,"Mason County, Washington",C4322,"Shelton, WA",Micro,CS500,"Seattle-Tacoma, WA"
53047,"Okanogan County, Washington",,,,,
53049,"Pacific County, Washington",,,,,
53051,"Pend Oreille County, Washington",C4406,"Spokane-Spokane Valley, WA",Metro,CS518,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
53053,"Pierce County, Washington",C4266,"Seattle-Tacoma-Bellevue, WA",Metro,CS500,"Seattle-Tacoma, WA"
53055,"San Juan County, Washington",,,,,
53057,"Skagit County, Washington",C3458,"Mount Vernon-Anacortes, WA",Metro,CS500,"Seattle-Tacoma, WA"
53059,"Skamania County, Washington",C3890,"Portland-Vancouver-Hillsboro, OR-WA",Metro,CS440,"Portland-Vancouver-Salem, OR-WA"
53061,"Snohomish County, Washington",C4266,"Seattle-Tacoma-Bellevue, WA",Metro,CS500,"Seattle-Tacoma, WA"
53063,"Spokane County, Washington",C4406,"Spokane-Spokane Valley, WA",Metro,CS518,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
53065,"Stevens County, Washington",C4406,"Spokane-Spokane Valley, WA",Metro,CS518,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
53067,"Thurston County, Washington",C3650,"Olympia-Tumwater, WA",Metro,CS500,"Seattle-Tacoma, WA"
53069,"Wahkiakum County, Washington",,,,,
53071,"Walla Walla County, Washington",C4746,"Walla Walla, WA",Metro,,
53073,"Whatcom County, Washington",C1338,"Bellingham, WA",Metro,,
53075,"Whitman County, Washington",C3942,"Pullman, WA",Micro,CS446,"Pullman-Moscow, WA-ID"
53077,"Yakima County, Washington",C4942,"Yakima, WA",Metro,,
54001,"Barbour County, West Virginia",,,,,
54003,"Berkeley County, West Virginia",C2518,"Hagerstown-Martinsburg, MD-WV",Metro,CS548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
54005,"Boone County, West Virginia",C1662,"Charleston, WV",Metro,CS170,"Charleston-Huntington-Ashland, WV-OH-KY"
54007,"Braxton County, West Virginia",,,,,
54009,"Brooke County, West Virginia",C4826,"Weirton-Steubenville, WV-OH",Metro,CS430,"Pittsburgh-New Castle-Weirton, PA-OH-WV"
54011,"Cabell County, West Virginia",C2658,"Huntington-Ashland, WV-KY-OH",Metro,CS170,"Charleston-Huntington-Ashland, WV-OH-KY"
54013,"Calhoun County, West Virginia",,,,,
54015,"Clay County, West Virginia",C1662,"Charleston, WV",Metro,CS170,"Charleston-Huntington-Ashland, WV-OH-KY"
54017,"Doddridge County, West Virginia",C1722,"Clarksburg, WV",Micro,,
54019,"Fayette County, West Virginia",C1322,"Beckley, WV",Metro,,
54021,"Gilmer County, West Virginia",,,,,
54023,"Grant County, West Virginia",,,,,
54025,"Greenbrier County, West Virginia",,,,,
54027,"Hampshire County, West Virginia",C4902,"Winchester, VA-WV",Metro,CS548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
54029,"Hancock County, West Virginia",C4826,"Weirton-Steubenville, WV-OH",Metro,CS430,"Pittsburgh-New Castle-Weirton, PA-OH-WV"
54031,"Hardy County, West Virginia",,,,,
54033,"Harrison County, West Virginia",C1722,"Clarksburg, WV",Micro,,
54035,"Jackson County, West Virginia",,,,,
54037,"Jefferson County, West Virginia",C4790,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metro,CS548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
54039,"Kanawha County, West Virginia",C1662,"Charleston, WV",Metro,CS170,"Charleston-Huntington-Ashland, WV-OH-KY"
54041,"Lewis County, West Virginia",,,,,
54043,"Lincoln County, West Virginia",C2658,"Huntington-Ashland, WV-KY-OH",Metro,CS170,"Charleston-Huntington-Ashland, WV-OH-KY"
54045,"Logan County, West Virginia",C3088,"Logan, WV",Micro,CS170,"Charleston-Huntington-Ashland, WV-OH-KY"
54047,"McDowell County, West Virginia",,,,,
54049,"Marion County, West Virginia",C2190,"Fairmont, WV",Micro,CS390,"Morgantown-Fairmont, WV"
54051,"Marshall County, West Virginia",C4854,"Wheeling, WV-OH",Metro,,
54053,"Mason County, West Virginia",C3858,"Point Pleasant, WV-OH",Micro,,
54055,"Mercer County, West Virginia",C1414,"Bluefield, WV-VA",Micro,,
54057,"Mineral County, West Virginia",C1906,"Cumberland, MD-WV",Metro,,
54059,"Mingo County, West Virginia",,,,,
54061,"Monongalia County, West Virginia",C3406,"Morgantown, WV",Metro,CS390,"Morgantown-Fairmont, WV"
54063,"Monroe County, West Virginia",,,,,
54065,"Morgan County, West Virginia",,,,,
54067,"Nicholas County, West Virginia",,,,,
54069,"Ohio County, West Virginia",C4854,"Wheeling, WV-OH",Metro,,
54071,"Pendleton County, West Virginia",,,,,
54073,"Pleasants County, West Virginia",,,,,
54075,"Pocahontas County, West Virginia",,,,,
54077,"Preston County, West Virginia",C3406,"Morgantown, WV",Metro,CS390,"Morgantown-Fairmont, WV"
54079,"Putnam County, West Virginia",C2658,"Huntington-Ashland, WV-KY-OH",Metro,CS170,"Charleston-Huntington-Ashland, WV-OH-KY"
54081,"Raleigh County, West Virginia",C1322,"Beckley, WV",Metro,,
54083,"Randolph County, West Virginia",C2118,"Elkins, WV",Micro,,
54085,"Ritchie County, West Virginia",,,,,
54087,"Roane County, West Virginia",,,,,
54089,"Summers County, West Virginia",,,,,
54091,"Taylor County, West Virginia",C1722,"Clarksburg, WV",Micro,,
54093,"Tucker County, West Virginia",,,,,
54095,"Tyler County, West Virginia",,,,,
54097,"Upshur County, West Virginia",,,,,
54099,"Wayne County, West Virginia",C2658,"Huntington-Ashland, WV-KY-OH",Metro,CS170,"Charleston-Huntington-Ashland, WV-OH-KY"
54101,"Webster County, West Virginia",,,,,
54103,"Wetzel County, West Virginia",,,,,
54105,"Wirt County, West Virginia",C3762,"Parkersburg-Vienna, WV",Metro,CS425,"Parkersburg-Marietta-Vienna, WV-OH"
54107,"Wood County, West Virginia",C3762,"Parkersburg-Vienna, WV",Metro,CS425,"Parkersburg-Marietta-Vienna, WV-OH"
54109,"Wyoming County, West Virginia",,,,,
55001,"Adams County, Wisconsin",,,,,
55003,"Ashland County, Wisconsin",,,,,
55005,"Barron County, Wisconsin",,,,,
55007,"Bayfield County, Wisconsin",,,,,
55009,"Brown County, Wisconsin",C2458,"Green Bay, WI",Metro,CS267,"Green Bay-Shawano, WI"
55011,"Buffalo County, Wisconsin",,,,,
55013,"Burnett County, Wisconsin",,,,,
