id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,group_popularity,notes,city,msa_state
ENUC356240010,2022-01-02,2022-01-02,"Average Weekly Wages for Employees in Total Covered Establishments in New York-Northern New Jersey-Long Island, NY-NJ-PA (MSA)",1990-01-01,2021-04-01,Quarterly,Q,Dollars per Week,$ per Week,Not Seasonally Adjusted,NSA,2021-12-01 11:08:48-06,1,1,"Average weekly wages are the wages paid by unemployment insurance covered employers during the calendar quarter, regardless of when the services were performed. Included in wages are pay for vacation and other paid leave, bonuses, stock options, tips, the cash value of meals and lodging, and in some States, contributions to deferred compensation plans (such as 401(k) plans).",New York,NY
ENUC356240010SA,2022-01-02,2022-01-02,"Average Weekly Wages for Employees in Total Covered Establishments in New York-Northern New Jersey-Long Island, NY-NJ-PA (MSA)",1990-01-01,2021-04-01,Quarterly,Q,Dollars per Week,$ per Week,Seasonally Adjusted,SA,2021-12-01 11:08:04-06,1,1,"Average weekly wages are the wages paid by unemployment insurance covered employers during the calendar quarter, regardless of when the services were performed. Included in wages are pay for vacation and other paid leave, bonuses, stock options, tips, the cash value of meals and lodging, and in some States, contributions to deferred compensation plans (such as 401(k) plans). 

The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'statsmodel' library from Python with default parameter settings. The package uses the U.S. Bureau of the Census X-13ARIMA-SEATS Seasonal Adjustment Program. More information on the 'statsmodel' X-13ARIMA-SEATS package can be found here (https://www.statsmodels.org/dev/generated/statsmodels.tsa.x13.x13_arima_analysis.html). More information on X-13ARIMA-SEATS can be found here (https://www.census.gov/srd/www/x13as/).

Many series include both seasonally adjusted (SA) and not seasonally adjusted (NSA) data. In some cases, the NSA data will be updated but the SA data will not be updated. The reason is usually that the data series has not accumulated enough new seasonal factors to trigger an adjustment.The NSA series can be located here (https://fred.stlouisfed.org/series/ENUC356240010) The FRED team is currently working on a new procedure to replace SA data that has not yet be updated with NSA data that has been updated.

Some seasonally adjusted series may exhibit negative values because they are created from a seasonal adjustment process regardless of the actual meaning or interpretation of the given indicator.",New York,NY
ENUC356240110,2022-01-02,2022-01-02,"Average Weekly Wages for Employees in Federal Government Establishments in New York-Northern New Jersey-Long Island, NY-NJ-PA (MSA)",1990-01-01,2021-04-01,Quarterly,Q,Dollars per Week,$ per Week,Not Seasonally Adjusted,NSA,2021-12-01 11:08:48-06,1,1,"Average weekly wages are the wages paid by unemployment insurance covered employers during the calendar quarter, regardless of when the services were performed. Included in wages are pay for vacation and other paid leave, bonuses, stock options, tips, the cash value of meals and lodging, and in some States, contributions to deferred compensation plans (such as 401(k) plans).",New York,NY
ENUC356240110SA,2022-01-02,2022-01-02,"Average Weekly Wages for Employees in Federal Government Establishments in New York-Northern New Jersey-Long Island, NY-NJ-PA (MSA)",1990-01-01,2021-04-01,Quarterly,Q,Dollars per Week,$ per Week,Seasonally Adjusted,SA,2021-12-01 11:12:54-06,1,1,"Average weekly wages are the wages paid by unemployment insurance covered employers during the calendar quarter, regardless of when the services were performed. Included in wages are pay for vacation and other paid leave, bonuses, stock options, tips, the cash value of meals and lodging, and in some States, contributions to deferred compensation plans (such as 401(k) plans). 

The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'statsmodel' library from Python with default parameter settings. The package uses the U.S. Bureau of the Census X-13ARIMA-SEATS Seasonal Adjustment Program. More information on the 'statsmodel' X-13ARIMA-SEATS package can be found here (https://www.statsmodels.org/dev/generated/statsmodels.tsa.x13.x13_arima_analysis.html). More information on X-13ARIMA-SEATS can be found here (https://www.census.gov/srd/www/x13as/).

Many series include both seasonally adjusted (SA) and not seasonally adjusted (NSA) data. In some cases, the NSA data will be updated but the SA data will not be updated. The reason is usually that the data series has not accumulated enough new seasonal factors to trigger an adjustment.The NSA series can be located here (https://fred.stlouisfed.org/series/ENUC356240110) The FRED team is currently working on a new procedure to replace SA data that has not yet be updated with NSA data that has been updated.

Some seasonally adjusted series may exhibit negative values because they are created from a seasonal adjustment process regardless of the actual meaning or interpretation of the given indicator.",New York,NY
ENUC356240210,2022-01-02,2022-01-02,"Average Weekly Wages for Employees in State Government Establishments in New York-Northern New Jersey-Long Island, NY-NJ-PA (MSA)",1990-01-01,2021-04-01,Quarterly,Q,Dollars per Week,$ per Week,Not Seasonally Adjusted,NSA,2021-12-01 11:08:48-06,1,1,"Average weekly wages are the wages paid by unemployment insurance covered employers during the calendar quarter, regardless of when the services were performed. Included in wages are pay for vacation and other paid leave, bonuses, stock options, tips, the cash value of meals and lodging, and in some States, contributions to deferred compensation plans (such as 401(k) plans).",New York,NY
ENUC356240210SA,2022-01-02,2022-01-02,"Average Weekly Wages for Employees in State Government Establishments in New York-Northern New Jersey-Long Island, NY-NJ-PA (MSA)",1990-01-01,2021-04-01,Quarterly,Q,Dollars per Week,$ per Week,Seasonally Adjusted,SA,2021-12-01 11:12:54-06,1,1,"Average weekly wages are the wages paid by unemployment insurance covered employers during the calendar quarter, regardless of when the services were performed. Included in wages are pay for vacation and other paid leave, bonuses, stock options, tips, the cash value of meals and lodging, and in some States, contributions to deferred compensation plans (such as 401(k) plans). 

The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'x12' package from R with default parameter settings. The package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal Adjustment Program. More information on the 'x12' package can be found at http://cran.r-project.org/web/packages/x12/x12.pdf. More information on X-12-ARIMA can be found at http://www.census.gov/srd/www/x12a/.",New York,NY
ENUC356240310,2022-01-02,2022-01-02,"Average Weekly Wages for Employees in Local Government Establishments in New York-Northern New Jersey-Long Island, NY-NJ-PA (MSA)",1990-01-01,2021-04-01,Quarterly,Q,Dollars per Week,$ per Week,Not Seasonally Adjusted,NSA,2021-12-01 11:08:48-06,1,1,"Average weekly wages are the wages paid by unemployment insurance covered employers during the calendar quarter, regardless of when the services were performed. Included in wages are pay for vacation and other paid leave, bonuses, stock options, tips, the cash value of meals and lodging, and in some States, contributions to deferred compensation plans (such as 401(k) plans).",New York,NY
ENUC356240310SA,2022-01-02,2022-01-02,"Average Weekly Wages for Employees in Local Government Establishments in New York-Northern New Jersey-Long Island, NY-NJ-PA (MSA)",1990-01-01,2021-04-01,Quarterly,Q,Dollars per Week,$ per Week,Seasonally Adjusted,SA,2021-12-01 11:12:54-06,1,1,"Average weekly wages are the wages paid by unemployment insurance covered employers during the calendar quarter, regardless of when the services were performed. Included in wages are pay for vacation and other paid leave, bonuses, stock options, tips, the cash value of meals and lodging, and in some States, contributions to deferred compensation plans (such as 401(k) plans). 

The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'x12' package from R with default parameter settings. The package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal Adjustment Program. More information on the 'x12' package can be found at http://cran.r-project.org/web/packages/x12/x12.pdf. More information on X-12-ARIMA can be found at http://www.census.gov/srd/www/x12a/.",New York,NY
ENUC356240510,2022-01-02,2022-01-02,"Average Weekly Wages for Employees in Private Establishments in New York-Northern New Jersey-Long Island, NY-NJ-PA (MSA)",1990-01-01,2021-04-01,Quarterly,Q,Dollars per Week,$ per Week,Not Seasonally Adjusted,NSA,2021-12-01 11:08:47-06,1,1,"Average weekly wages are the wages paid by unemployment insurance covered employers during the calendar quarter, regardless of when the services were performed. Included in wages are pay for vacation and other paid leave, bonuses, stock options, tips, the cash value of meals and lodging, and in some States, contributions to deferred compensation plans (such as 401(k) plans).",New York,NY
ENUC356240510SA,2022-01-02,2022-01-02,"Average Weekly Wages for Employees in Private Establishments in New York-Northern New Jersey-Long Island, NY-NJ-PA (MSA)",1990-01-01,2021-04-01,Quarterly,Q,Dollars per Week,$ per Week,Seasonally Adjusted,SA,2021-12-01 11:08:04-06,1,1,"Average weekly wages are the wages paid by unemployment insurance covered employers during the calendar quarter, regardless of when the services were performed. Included in wages are pay for vacation and other paid leave, bonuses, stock options, tips, the cash value of meals and lodging, and in some States, contributions to deferred compensation plans (such as 401(k) plans). 

The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'statsmodel' library from Python with default parameter settings. The package uses the U.S. Bureau of the Census X-13ARIMA-SEATS Seasonal Adjustment Program. More information on the 'statsmodel' X-13ARIMA-SEATS package can be found here (https://www.statsmodels.org/dev/generated/statsmodels.tsa.x13.x13_arima_analysis.html). More information on X-13ARIMA-SEATS can be found here (https://www.census.gov/srd/www/x13as/).

Many series include both seasonally adjusted (SA) and not seasonally adjusted (NSA) data. In some cases, the NSA data will be updated but the SA data will not be updated. The reason is usually that the data series has not accumulated enough new seasonal factors to trigger an adjustment.The NSA series can be located here (https://fred.stlouisfed.org/series/ENUC356240510) The FRED team is currently working on a new procedure to replace SA data that has not yet be updated with NSA data that has been updated.

Some seasonally adjusted series may exhibit negative values because they are created from a seasonal adjustment process regardless of the actual meaning or interpretation of the given indicator.",New York,NY
HORAMMMSA35620,2022-01-02,2022-01-02,"Market Hotness: Hotness Rank in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",2018-08-01,2021-11-01,Monthly,M,Rank Change,Rank Chg.,Not Seasonally Adjusted,NSA,2021-12-07 09:07:44-06,1,1,"Market hotness rank for the specified zip code, county, or metro area's compared to all other zip codes, counties and metro areas nationally. A rank value of 1 is considered the hottest in the country.

The change in Hotness rank from the previous month. A positive value indicates a market has cooled down (moved down in ranking), and a negative value indicates a market has heated up (moved up in ranking).

With the release of its November 2021 housing trends report, Realtor.com® incorporated a new and improved methodology for capturing and reporting housing inventory trends and metrics. The new methodology uses the latest and most accurate data mapping of listing statuses to yield a cleaner and more consistent measurement of active listings at both the national and local level. The methodology has also been adjusted to better account for missing data in some fields including square footage. Most areas across the country will see minor changes with a smaller handful of areas seeing larger updates. As a result of these changes, the data released since December 2021 will not be directly comparable with previous data releases (files downloaded before December 2021) and Realtor.com® economics blog posts. However, future data releases, including historical data, will consistently apply the new methodology. More details are available at the source's Real Estate Data Library (https://www.realtor.com/research/data/).",New York,NY
HORAMSA35620,2022-01-02,2022-01-02,"Market Hotness: Hotness Rank in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",2017-08-01,2021-11-01,Monthly,M,Rank,Rank,Not Seasonally Adjusted,NSA,2021-12-02 16:29:25-06,1,1,"Market hotness rank for the specified zip code, county, or metro area's compared to all other zip codes, counties and metro areas nationally. A rank value of 1 is considered the hottest in the country.

With the release of its November 2021 housing trends report, Realtor.com® incorporated a new and improved methodology for capturing and reporting housing inventory trends and metrics. The new methodology uses the latest and most accurate data mapping of listing statuses to yield a cleaner and more consistent measurement of active listings at both the national and local level. The methodology has also been adjusted to better account for missing data in some fields including square footage. Most areas across the country will see minor changes with a smaller handful of areas seeing larger updates. As a result of these changes, the data released since December 2021 will not be directly comparable with previous data releases (files downloaded before December 2021) and Realtor.com® economics blog posts. However, future data releases, including historical data, will consistently apply the new methodology. More details are available at the source's Real Estate Data Library (https://www.realtor.com/research/data/).",New York,NY
HORAYYMSA35620,2022-01-02,2022-01-02,"Market Hotness: Hotness Rank in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",2018-08-01,2021-11-01,Monthly,M,Rank Change from Year Ago,Rank Chg. from Yr. Ago,Not Seasonally Adjusted,NSA,2021-12-02 16:28:02-06,1,1,"Market hotness rank for the specified zip code, county, or metro area's compared to all other zip codes, counties and metro areas nationally. A rank value of 1 is considered the hottest in the country.

The change in Hotness rank from the previous year. A positive value indicates a market has cooled down (moved down in ranking), and a negative value indicates a market has heated up (moved up in ranking).

With the release of its November 2021 housing trends report, Realtor.com® incorporated a new and improved methodology for capturing and reporting housing inventory trends and metrics. The new methodology uses the latest and most accurate data mapping of listing statuses to yield a cleaner and more consistent measurement of active listings at both the national and local level. The methodology has also been adjusted to better account for missing data in some fields including square footage. Most areas across the country will see minor changes with a smaller handful of areas seeing larger updates. As a result of these changes, the data released since December 2021 will not be directly comparable with previous data releases (files downloaded before December 2021) and Realtor.com® economics blog posts. However, future data releases, including historical data, will consistently apply the new methodology. More details are available at the source's Real Estate Data Library (https://www.realtor.com/research/data/).",New York,NY
HOSCMSA35620,2022-01-02,2022-01-02,"Market Hotness: Hotness Score in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",2017-08-01,2021-11-01,Monthly,M,Score,Score,Not Seasonally Adjusted,NSA,2021-12-02 16:28:32-06,1,1,"The Hotness score is an equally-weighted composite metric of a market's supply score (based on days on market) and demand score (based on realtor.com listing views).

With the release of its November 2021 housing trends report, Realtor.com® incorporated a new and improved methodology for capturing and reporting housing inventory trends and metrics. The new methodology uses the latest and most accurate data mapping of listing statuses to yield a cleaner and more consistent measurement of active listings at both the national and local level. The methodology has also been adjusted to better account for missing data in some fields including square footage. Most areas across the country will see minor changes with a smaller handful of areas seeing larger updates. As a result of these changes, the data released since December 2021 will not be directly comparable with previous data releases (files downloaded before December 2021) and Realtor.com® economics blog posts. However, future data releases, including historical data, will consistently apply the new methodology. More details are available at the source's Real Estate Data Library (https://www.realtor.com/research/data/).",New York,NY
IHLCHG35620,2022-01-02,2022-01-02,"Job Postings on Indeed in New York-Newark-Jersey City, NY-NJ-PA (MSA)",2020-02-01,2021-12-17,"Daily, 7-Day",D,"Percent Change from Feb 01, 2020","% Chg. from Feb 01, 2020",Seasonally Adjusted,SA,2021-12-21 14:04:43-06,4,4,"Indeed calculates the percentage change in seasonally-adjusted job postings since February 1, 2020, using a 7-day trailing average. February 1, 2020, is the pre-pandemic baseline. Indeed seasonally adjusts each series based on historical patterns in 2017, 2018, and 2019. Each series, including the national trend, occupational sectors, and sub-national geographies, is seasonally adjusted separately. Indeed switched to this new methodology in January 2021 and now reports all historical data using this new methodology. Historical numbers have been revised and may differ significantly from originally reported values. The new methodology applies a detrended seasonal adjustment factor to the percentage change in job postings. For more information, see Frequently Asked Questions (https://www.hiringlab.org/indeed-data-faq/) regarding Indeed Data.

Copyrighted: Pre-approval required. Contact Indeed to request permission to use the data at their contact information provided here (https://github.com/hiring-lab/data#readme).

End Users are excluded of any warranty and liability on the part of Indeed for the accuracy of the Indeed Data. End Users will refrain from any external distribution of Indeed Data except in oral or written presentations, provided that such portions or derivations are incidental to and supportive of such presentations and, provided further that the End Users shall not distribute or disseminate in such presentations any amount of Indeed Data which could cause such presentations to be susceptible to use substantially as a source of, or substitute for Indeed Data. End Users agree to credit Indeed as the source and owner of the Indeed Data when making it available to third parties in any permissible manner as well as in internal use. End Users agree to not sell or otherwise provide the Indeed Data obtained from Licensee to third parties.",New York,NY
INTINCOMENYL,2022-01-02,2022-01-02,"Net Interest Income for Commercial Banks with Assets under $5B in New York-Newark-Jersey City, NY-NJ-PA (MSA) (DISCONTINUED)",1989-01-01,2020-07-01,Quarterly,Q,Thousands of Dollars,Thous. of $,Not Seasonally Adjusted,NSA,2020-12-10 14:50:21-06,1,1,"This series is discontinued and will no longer be updated. Additional consolidated data is available on the FDIC's Bank Data and Statistics (https://www.fdic.gov/bank/statistical/).

This series represents Net Interest Income call item RIAD4074.

The asset class is determined by using Total Assets call item RCFD2170 less than or equal to $5B. Geographic location is determined by Abbreviated State Name call item RSSD9200 and County Code call item RSSD9150, which is mapped to the proper Core Based Statistical Area (CBSA) defined by the Office of Management and Budget (OMB).

Users are advised to use the Federal Reserve Board of Governors' data dictionary (https://www.federalreserve.gov/apps/mdrm/data-dictionary) to retrieve detailed information for specific call items.

This series is calculated by the Federal Reserve Bank of St. Louis using raw data that are collected by the FFIEC. Raw data can be found at https://cdr.ffiec.gov/public/.",New York,NY
IRPD35620,2022-01-02,2022-01-02,"Implicit Regional Price Deflator for New York-Newark-Jersey City, NY-NJ-PA (MSA)",2008-01-01,2020-01-01,Annual,A,US PCE Index 2012=100,US PCE Index 2012=100,Not Seasonally Adjusted,NSA,2021-12-14 11:01:38-06,1,1,"The Implicit Regional Price Deflator (IRPD) is the ratio of the current-dollar value of a series, such as regional personal income, to its corresponding chained-dollar value, multiplied by 100.

For more information about this release go to http://www.bea.gov/newsreleases/regional/rpp/rpp_newsrelease.htm or http://www.bea.gov/regional/methods.cfm.",New York,NY
LAUMT363562000000003A,2022-01-02,2022-01-02,"Unemployment Rate in New York-Newark-Jersey City, NY-NJ-PA (MSA)",1990-01-01,2020-01-01,Annual,A,Percent,%,Not Seasonally Adjusted,NSA,2021-04-16 14:27:04-05,2,22,,New York,NY
LAUMT363562000000004,2022-01-02,2022-01-02,"Unemployed Persons in New York-Newark-Jersey City, NY-NJ-PA (MSA)",1990-01-01,2021-11-01,Monthly,M,Persons,Persons,Not Seasonally Adjusted,NSA,2021-12-30 10:36:10-06,1,1,"These data come from the Current Population Survey (CPS), also known as the household survey.

Unemployed persons are all persons who had no employment during the reference week, were available for work, except for temporary illness, and had made specific efforts to find employment some time during the 4 week-period ending with the reference week. Persons who were waiting to be recalled to a job from which they had been laid off need not have been looking for work to be classified as unemployed.

For more details, see the release's frequently asked questions (https://www.bls.gov/lau/laufaq.htm).",New York,NY
