date,Number of Private Establishments for All Industries,msa_state,city,county,state,title,id,frequency,seasonal_adjustment
2002-07-01,2205,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2002-10-01,2227,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2003-01-01,2258,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2003-04-01,2266,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2003-07-01,2283,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2003-10-01,2310,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2004-01-01,2369,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2004-04-01,2410,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2004-07-01,2439,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2004-10-01,2447,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2005-01-01,2526,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2005-04-01,2534,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2005-07-01,2541,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2005-10-01,2574,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2006-01-01,2535,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2006-04-01,2593,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2006-07-01,2617,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2006-10-01,2638,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2007-01-01,2713,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2007-04-01,2737,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2007-07-01,2786,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2007-10-01,2760,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2008-01-01,2831,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2008-04-01,2864,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2008-07-01,2861,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2008-10-01,2880,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2009-01-01,2850,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2009-04-01,2865,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2009-07-01,2874,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2009-10-01,2883,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2010-01-01,2856,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2010-04-01,2878,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2010-07-01,2897,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2010-10-01,2926,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2011-01-01,2887,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2011-04-01,2909,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2011-07-01,2913,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2011-10-01,2950,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2012-01-01,2948,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2012-04-01,2967,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2012-07-01,2980,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2012-10-01,3015,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2013-01-01,3033,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2013-04-01,3032,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2013-07-01,3064,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2013-10-01,3072,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2014-01-01,3065,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2014-04-01,3094,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2014-07-01,3082,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2014-10-01,3121,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2015-01-01,3127,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2015-04-01,3310,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2015-07-01,3375,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2015-10-01,3418,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2016-01-01,3429,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2016-04-01,3459,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2016-07-01,3495,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2016-10-01,3440,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2017-01-01,3543,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2017-04-01,3593,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2017-07-01,3650,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2017-10-01,3687,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2018-01-01,3734,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2018-04-01,3727,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2018-07-01,3768,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2018-10-01,3800,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2019-01-01,3749,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2019-04-01,3742,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2019-07-01,3708,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2019-10-01,3660,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2020-01-01,3654,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2020-04-01,3659,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2020-07-01,3686,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2020-10-01,3737,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2021-01-01,3784,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2021-04-01,3808,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1990-01-01,372,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1990-04-01,376,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1990-07-01,368,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1990-10-01,367,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1991-01-01,363,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1991-04-01,372,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1991-07-01,377,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1991-10-01,370,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1992-01-01,371,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1992-04-01,382,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1992-07-01,390,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1992-10-01,391,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1993-01-01,417,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1993-04-01,440,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1993-07-01,455,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1993-10-01,467,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1994-01-01,474,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1994-04-01,482,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1994-07-01,492,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1994-10-01,521,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1995-01-01,534,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1995-04-01,546,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1995-07-01,550,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1995-10-01,528,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1996-01-01,524,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1996-04-01,537,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1996-07-01,542,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1996-10-01,551,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1997-01-01,534,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1997-04-01,570,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1997-07-01,584,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1997-10-01,595,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1998-01-01,624,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1998-04-01,643,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1998-07-01,656,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1998-10-01,683,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1999-01-01,656,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1999-04-01,659,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1999-07-01,663,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
1999-10-01,668,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
2000-01-01,645,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
2000-04-01,659,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
2000-07-01,669,ID,Lewiston,Asotin County,WA,"Number of Private Establishments for All Industries in Asotin County, WA",ENU5300320510,Quarterly,Not Seasonally Adjusted
